Experiment,Vertices,Edges,Density,Status,Algorithm,Time(ms),Memory(KB),Weight
V500_D0.500000,500,62375,0.5,COMPLETED,KKT,20.5847,1244,739.765
V500_D0.500000,500,62375,0.5,COMPLETED,Boruvka_Parallel_2threads,5.4915,8,739.765
V500_D0.500000,500,62375,0.5,COMPLETED,Boruvka_Parallel_4threads,5.1733,0,739.765
V500_D1.000000,500,499,1,COMPLETED,Kruskal,0.0307,0,25317.9
V500_D1.000000,500,499,1,COMPLETED,Prim_BinaryHeap,0.0411,0,25317.9
V500_D1.000000,500,499,1,COMPLETED,KKT,0.2806,36,25317.9
V500_D1.000000,500,499,1,COMPLETED,Boruvka_Parallel_2threads,0.9049,0,25317.9
V500_D1.000000,500,499,1,COMPLETED,Boruvka_Parallel_4threads,1.3884,0,25317.9
V500_D2.000000,500,500,2,COMPLETED,Kruskal,0.0363,0,25780.7
V500_D2.000000,500,500,2,COMPLETED,Prim_BinaryHeap,0.035,0,25780.7
V500_D2.000000,500,500,2,COMPLETED,KKT,0.2286,28,25780.7
V500_D2.000000,500,500,2,COMPLETED,Boruvka_Parallel_2threads,0.6784,0,25780.7
V500_D2.000000,500,500,2,COMPLETED,Boruvka_Parallel_4threads,1.008,0,25780.7
V500_D5.000000,500,1250,5,COMPLETED,Kruskal,0.0804,16,11796.5
V500_D5.000000,500,1250,5,COMPLETED,Prim_BinaryHeap,0.0898,0,11796.5
V500_D5.000000,500,1250,5,COMPLETED,KKT,0.8636,136,11796.5
V500_D5.000000,500,1250,5,COMPLETED,Boruvka_Parallel_2threads,0.6727,8,11796.5
V500_D5.000000,500,1250,5,COMPLETED,Boruvka_Parallel_4threads,1.1041,0,11796.5
V500_D10.000000,500,2500,10,COMPLETED,Kruskal,0.1369,0,6413.35
V500_D10.000000,500,2500,10,COMPLETED,Prim_BinaryHeap,0.131,0,6413.35
V500_D10.000000,500,2500,10,COMPLETED,KKT,1.3913,24,6413.35
V500_D10.000000,500,2500,10,COMPLETED,Boruvka_Parallel_2threads,0.827,4,6413.35
V500_D10.000000,500,2500,10,COMPLETED,Boruvka_Parallel_4threads,1.3711,0,6413.35
V500_D20.000000,500,5000,20,COMPLETED,Kruskal,0.3056,80,3653.78
V500_D20.000000,500,5000,20,COMPLETED,Prim_BinaryHeap,0.2046,4,3653.78
V500_D20.000000,500,5000,20,COMPLETED,KKT,2.6442,18446744073709551488,3653.78
V500_D20.000000,500,5000,20,COMPLETED,Boruvka_Parallel_2threads,0.9208,68,3653.78
V500_D20.000000,500,5000,20,COMPLETED,Boruvka_Parallel_4threads,0.9371,0,3653.78
V1000_D0.010000,1000,4995,0.01,COMPLETED,Kruskal,0.315,0,12637.4
V1000_D0.010000,1000,4995,0.01,COMPLETED,Prim_BinaryHeap,0.2984,4,12637.4
V1000_D0.010000,1000,4995,0.01,COMPLETED,KKT,3.8084,18446744073709551548,12637.4
V1000_D0.010000,1000,4995,0.01,COMPLETED,Boruvka_Parallel_2threads,1.0406,24,12637.4
V1000_D0.010000,1000,4995,0.01,COMPLETED,Boruvka_Parallel_4threads,1.0232,0,12637.4
V1000_D0.020000,1000,9990,0.02,COMPLETED,Kruskal,0.6501,156,6993.99
V1000_D0.020000,1000,9990,0.02,COMPLETED,Prim_BinaryHeap,0.4346,0,6993.99
V1000_D0.020000,1000,9990,0.02,COMPLETED,KKT,6.0466,18446744073709551276,6993.99
V1000_D0.020000,1000,9990,0.02,COMPLETED,Boruvka_Parallel_2threads,1.7344,20,6993.99
V1000_D0.020000,1000,9990,0.02,COMPLETED,Boruvka_Parallel_4threads,2.374,0,6993.99
V1000_D0.050000,1000,24975,0.05,COMPLETED,Kruskal,1.6791,388,3502.41
V1000_D0.050000,1000,24975,0.05,COMPLETED,Prim_BinaryHeap,0.7022,80,3502.41
V1000_D0.050000,1000,24975,0.05,COMPLETED,KKT,15.01,380,3502.41
V1000_D0.050000,1000,24975,0.05,COMPLETED,Boruvka_Parallel_2threads,3.3523,18446744073709551476,3502.41
V1000_D0.050000,1000,24975,0.05,COMPLETED,Boruvka_Parallel_4threads,2.4399,0,3502.41
V1000_D0.100000,1000,49950,0.1,COMPLETED,Kruskal,3.3624,784,2195.54
V1000_D0.100000,1000,49950,0.1,COMPLETED,Prim_BinaryHeap,0.9731,18446744073709551556,2195.54
V1000_D0.100000,1000,49950,0.1,COMPLETED,KKT,24.6399,1180,2195.54
V1000_D0.100000,1000,49950,0.1,COMPLETED,Boruvka_Parallel_2threads,3.6272,4,2195.54
V1000_D0.100000,1000,49950,0.1,COMPLETED,Boruvka_Parallel_4threads,3.9998,0,2195.54
V1000_D0.200000,1000,99900,0.2,COMPLETED,Kruskal,6.8871,1564,1597.79
V1000_D0.200000,1000,99900,0.2,COMPLETED,Prim_BinaryHeap,1.6233,128,1597.79
V1000_D0.200000,1000,99900,0.2,COMPLETED,KKT,38.3477,2608,1597.79
V1000_D0.200000,1000,99900,0.2,COMPLETED,Boruvka_Parallel_2threads,6.4841,24,1597.79
V1000_D0.200000,1000,99900,0.2,COMPLETED,Boruvka_Parallel_4threads,6.2716,0,1597.79
